order_item_id,order_id,product_id,product_category,quantity,unit_price,promotion_id,attributed_to_promo
1,2728,896,Books,1,12.47,,False
2,1329,947,Electronics,2,57.78,,False
3,6858,851,Electronics,3,332.0,,False
4,4844,578,Beauty,1,64.18,,False
5,7058,597,Electronics,3,373.3,,False
6,4642,120,Clothing,3,81.99,557,True
7,4220,98,Clothing,2,137.09,,False
8,14128,619,Books,3,26.67,1499,True
9,932,888,Home,3,277.24,,False
10,2774,33,Sports,1,78.81,181,True
11,2667,919,Home,3,223.25,,False
12,7525,5,Beauty,2,54.25,,False
13,9570,519,Books,1,30.49,,False
14,11728,430,Home,1,186.63,,False
15,7587,283,Home,3,135.85,,False
16,10792,558,Electronics,3,334.72,,False
17,4290,456,Beauty,3,17.31,,False
18,10578,872,Clothing,3,196.42,,False
19,8541,97,Beauty,2,28.22,1325,True
20,10490,251,Clothing,1,40.23,,False
21,7147,267,Home,1,101.58,,False
22,1214,730,Books,3,35.24,,False
23,14369,429,Sports,3,170.07,,False
24,478,819,Home,1,237.98,,False
25,863,762,Home,1,113.04,,False
26,6448,890,Books,2,20.15,,False
27,2389,864,Home,1,148.11,,False
28,7408,7,Electronics,2,419.59,,False
29,6880,264,Beauty,1,130.85,,False
30,11407,737,Clothing,1,47.06,,False
31,10991,417,Beauty,1,78.13,,False
32,11546,126,Beauty,1,105.57,,False
33,14542,475,Clothing,2,138.63,,False
34,12332,940,Books,3,8.08,,False
35,12874,671,Sports,1,170.17,,False
36,6807,129,Clothing,1,35.17,,False
37,9652,868,Electronics,2,339.2,352,True
38,10998,639,Home,2,282.18,1003,True
39,10006,779,Sports,2,121.87,818,True
40,6162,160,Beauty,3,32.46,,False
41,14031,905,Electronics,2,213.42,,False
42,159,893,Clothing,2,166.5,,False
43,4341,649,Electronics,1,248.13,,False
44,10164,606,Sports,2,175.66,,False
45,6753,503,Clothing,2,132.83,,False
46,9138,535,Books,1,24.7,,False
47,2402,55,Home,1,218.99,1180,True
48,9724,770,Sports,1,228.95,,False
49,5429,856,Sports,2,77.69,,False
50,4891,315,Books,2,42.21,516,True
51,1573,183,Clothing,1,106.54,510,True
52,2952,632,Electronics,3,338.55,861,True
53,6106,458,Books,1,28.97,,False
54,7979,555,Clothing,3,62.69,,False
55,13653,427,Sports,1,47.34,,False
56,10283,826,Beauty,2,116.18,1319,True
57,9676,578,Sports,2,48.44,,False
58,1774,448,Electronics,3,116.13,,False
59,14603,429,Clothing,2,173.69,,False
60,13128,520,Home,2,217.52,,False
61,2888,24,Electronics,3,352.78,,False
62,11111,300,Home,1,275.44,,False
63,6955,256,Electronics,1,107.37,,False
64,8504,977,Beauty,2,40.68,652,True
65,6066,605,Clothing,2,182.26,176,True
66,14866,478,Sports,2,188.49,1362,True
67,13436,841,Home,1,101.87,,False
68,14247,464,Clothing,2,168.79,,False
69,13626,329,Clothing,3,158.21,,False
70,511,957,Beauty,2,108.94,,False
71,7116,644,Electronics,3,133.27,,False
72,13299,448,Electronics,1,73.77,,False
73,11401,704,Sports,2,102.96,,False
74,167,958,Home,3,195.81,,False
75,3512,561,Electronics,2,373.48,113,True
76,569,372,Beauty,2,123.52,,False
77,11112,721,Clothing,3,192.12,,False
78,13158,12,Home,3,72.95,,False
79,12981,891,Clothing,1,77.52,,False
80,4627,964,Sports,2,248.91,,False
81,6824,825,Sports,2,213.7,,False
82,6725,996,Sports,1,224.26,,False
83,11308,693,Sports,2,69.47,,False
84,14101,809,Sports,1,197.85,,False
85,2094,447,Books,1,6.72,231,True
86,11230,251,Home,3,290.37,,False
87,2826,36,Books,2,45.47,,False
88,8285,918,Clothing,1,25.12,,False
89,960,816,Home,3,89.47,,False
90,8915,726,Books,1,17.58,,False
91,12795,545,Beauty,2,133.35,,False
92,4921,426,Sports,1,93.92,,False
93,10813,676,Books,3,28.39,1215,True
94,3952,426,Sports,2,194.33,,False
95,2318,371,Clothing,1,185.67,,False
96,9363,516,Sports,2,155.97,,False
97,3170,415,Home,3,59.15,,False
98,12135,706,Clothing,1,78.6,,False
99,4436,931,Beauty,1,44.79,,False
100,13432,830,Beauty,1,124.43,833,True
101,9185,917,Electronics,2,440.49,,False
102,9285,444,Books,2,13.95,,False
103,10508,785,Clothing,2,23.33,18,True
104,11762,65,Sports,2,223.12,,False
105,14022,677,Electronics,1,237.2,,False
106,3546,229,Clothing,3,89.99,,False
107,3047,760,Beauty,2,84.05,,False
108,3128,333,Beauty,3,24.52,,False
109,1852,389,Home,2,201.35,,False
110,14839,564,Home,2,107.68,,False
111,11274,287,Electronics,2,78.36,,False
112,6862,144,Beauty,1,37.5,,False
113,12695,159,Clothing,3,176.32,311,True
114,11740,133,Clothing,3,107.18,,False
115,7657,720,Home,2,231.37,,False
116,11426,233,Home,1,263.29,491,True
117,14676,267,Sports,3,60.04,1052,True
118,6835,664,Home,3,253.22,,False
119,5055,195,Beauty,1,112.21,,False
120,5696,970,Home,2,169.34,,False
121,14197,106,Books,2,36.63,,False
122,10324,341,Sports,3,197.78,,False
123,1559,808,Sports,3,186.28,,False
124,2322,806,Electronics,3,208.2,1444,True
125,8059,301,Beauty,1,110.08,,False
126,8153,52,Home,1,290.71,,False
127,1537,986,Home,2,259.36,,False
128,10927,849,Books,1,40.73,,False
129,1449,92,Home,3,270.96,1400,True
130,10574,552,Electronics,2,450.12,1221,True
131,1851,321,Books,1,9.35,825,True
132,11807,345,Books,2,17.23,,False
133,7040,916,Clothing,3,174.6,,False
134,12157,518,Clothing,1,186.15,460,True
135,6269,480,Clothing,3,83.86,,False
136,869,926,Sports,3,141.01,1051,True
137,11554,307,Sports,3,107.49,1296,True
138,14018,820,Clothing,2,22.51,,False
139,6602,668,Home,1,253.22,499,True
140,312,887,Electronics,3,88.03,,False
141,9180,855,Beauty,1,42.41,,False
142,3978,728,Books,1,34.07,1085,True
143,4309,104,Clothing,3,132.97,,False
144,128,650,Sports,2,163.45,,False
145,13362,215,Electronics,3,124.06,,False
146,8280,624,Books,1,20.13,986,True
147,9206,821,Sports,3,152.2,,False
148,10347,127,Beauty,3,114.89,,False
149,6245,638,Electronics,3,459.25,,False
150,12953,737,Clothing,1,189.67,,False
151,9778,872,Home,3,94.58,,False
152,12112,472,Sports,3,88.71,,False
153,2327,29,Home,3,181.06,,False
154,14003,540,Books,2,34.78,753,True
155,14868,758,Clothing,3,69.92,,False
156,12140,55,Home,2,114.66,,False
157,4525,427,Home,2,62.35,,False
158,8058,567,Books,2,20.05,1039,True
159,8682,957,Beauty,2,88.65,,False
160,5923,444,Clothing,3,45.2,,False
161,9948,84,Books,2,18.13,,False
162,11845,491,Sports,3,233.03,,False
163,4352,331,Books,3,12.62,,False
164,9531,99,Books,3,13.41,,False
165,8537,79,Clothing,2,139.34,,False
166,9666,161,Books,2,5.56,,False
167,784,877,Home,2,257.95,,False
168,9803,862,Beauty,3,45.45,,False
169,6144,484,Sports,3,150.44,,False
170,6377,760,Books,3,24.94,,False
171,7841,960,Books,3,13.78,,False
172,6243,399,Home,1,156.15,,False
173,9003,169,Sports,3,175.03,,False
174,11120,179,Home,2,227.7,,False
175,3140,374,Electronics,1,138.36,510,True
176,13384,264,Beauty,3,49.19,,False
177,12272,852,Sports,2,90.96,,False
178,663,727,Books,1,15.26,868,True
179,4694,81,Books,3,34.1,72,True
180,4774,452,Books,1,43.45,989,True
181,6424,900,Books,3,44.64,,False
182,10540,753,Books,1,48.36,,False
183,6796,730,Home,3,152.41,1438,True
184,746,543,Books,3,11.99,65,True
185,5546,332,Books,3,20.69,1132,True
186,7891,663,Sports,2,54.33,,False
187,2614,75,Books,2,9.86,,False
188,10454,837,Home,3,207.55,,False
189,12064,596,Electronics,1,95.56,,False
190,6463,31,Beauty,0,84.09,,False
191,555,897,Sports,2,59.26,,False
192,3952,975,Beauty,1,92.29,,False
193,13809,64,Sports,1,142.79,,False
194,11832,843,Clothing,1,103.97,,False
195,10759,647,Electronics,2,235.02,,False
196,77,443,Electronics,2,52.65,,False
