order_id,customer_id,order_date,order_status,promotion_id,order_channel,order_value,attributed_to_promo,customer_segment_at_time
1,620,2025-05-22 01:25:59.206935,PAID,1237,Push,310.97,True,Medium_Value
2,1407,2024-10-11 17:08:43.019855,PAID,,SMS,95.48,False,Low_Value
3,1773,2024-09-25 14:08:47.147630,PAID,,Email,178.64,False,Medium_Value
4,1284,2025-03-18 12:02:11.850882,PAID,,Social,86.91,False,New_Customer
5,1103,2025-04-10 15:23:59.090384,PAID,,Email,227.26,False,Medium_Value
6,720,2024-08-22 18:15:43.410919,PAID,,Push,96.19,False,New_Customer
7,395,2025-01-12 03:34:12.784001,PAID,,Social,323.39,False,High_Value
8,1137,2025-06-14 15:40:36.578592,PAID,,Email,40.16,False,Low_Value
9,666,2025-02-02 11:20:41.214048,PAID,,SMS,237.36,False,High_Value
10,256,2024-09-14 12:29:36.394983,PAID,,Push,293.14,False,High_Value
11,1879,2024-11-05 07:12:00.291523,PAID,,SMS,469.99,False,High_Value
12,1257,2024-08-22 05:11:57.961138,PAID,,SMS,56.82,False,New_Customer
13,21,2025-02-20 12:36:15.301213,PAID,,Social,150.81,False,High_Value
14,1778,2024-11-10 14:07:33.498079,CANCEL,,Email,40.34,False,Low_Value
15,1728,2025-03-12 17:36:44.207580,PAID,,Email,367.6,False,High_Value
16,1933,2025-02-20 00:39:45.087615,PAID,,Social,78.7,False,New_Customer
17,1229,2024-09-02 13:43:18.912533,CANCEL,12,SMS,61.77,True,Low_Value
18,593,2025-04-25 02:20:14.447199,CANCEL,294,SMS,91.72,True,New_Customer
19,57,2025-04-02 04:16:57.628673,PAID,689,Email,134.36,True,Medium_Value
20,443,2024-10-31 10:26:29.158868,PAID,,Push,50.11,False,Low_Value
21,1617,2025-05-29 17:22:47.495728,PAID,,Email,90.18,False,Medium_Value
22,68,2024-09-28 14:21:47.658727,PAID,195,Push,289.76,True,High_Value
23,611,2024-10-04 09:36:45.564977,PAID,1085,Push,70.85,True,New_Customer
24,636,2024-07-25 05:22:26.426887,PAID,1053,Push,806.72,True,High_Value
25,1835,2025-06-22 21:58:04.379817,PAID,,Email,44.43,False,Low_Value
26,246,2025-01-16 06:33:18.745259,PAID,510,Push,226.84,True,New_Customer
27,1466,2024-10-19 20:32:57.717670,PAID,,Social,121.04,False,New_Customer
28,869,2025-01-10 04:46:50.575298,PAID,,Social,499.56,False,High_Value
29,288,2025-03-13 04:45:31.772020,PAID,,SMS,364.82,False,High_Value
30,462,2025-02-15 02:07:22.190896,CANCEL,,Email,390.31,False,High_Value
31,1808,2025-01-07 20:02:15.886520,PAID,,Direct,295.73,False,High_Value
32,1849,2024-09-25 03:59:32.535993,CANCEL,,Email,41.66,False,Low_Value
33,1879,2024-10-11 20:15:31.800974,PAID,,Email,349.33,False,High_Value
34,1026,2024-09-17 11:40:05.807192,PAID,,Email,442.98,False,High_Value
35,1342,2024-07-13 03:06:11.696698,PAID,1427,Social,153.7,True,Low_Value
36,332,2024-11-05 16:20:48.203671,PAID,,Social,84.39,False,Medium_Value
37,662,2024-07-12 04:55:54.153580,PAID,,Email,185.6,False,High_Value
38,1077,2025-03-31 07:29:22.922568,PAID,,Direct,232.51,False,High_Value
39,1437,2024-12-21 20:42:50.808533,PAID,,Social,84.6,False,Medium_Value
40,1695,2024-09-10 21:31:16.286083,PAID,,Push,314.93,False,High_Value
41,666,2025-06-10 02:11:48.766017,PAID,,Push,258.61,False,High_Value
42,1349,2025-06-19 17:57:58.505972,PAID,,SMS,110.17,False,Medium_Value
43,552,2024-11-03 02:29:01.225148,PAID,,Direct,103.23,False,Low_Value
