promotion_id,campaign_name,promo_type,discount_value,min_order_value,start_date,end_date,campaign_duration_days,target_segment,campaign_channel,campaign_objective,target_category,expected_response_rate,budget_allocated,cost_per_acquisition
1,Cross_Sell_Fixed_Amount_1,Fixed_Amount,86.29,,2025-03-03 19:36:31.845830,2025-02-13 19:36:31.845830,18,Medium_Value,Social,Cross_Sell,,0.117,31654.2,48.03
2,Reactivation_Percentage_Discount_2,Percentage_Discount,-5.0,24.66,2024-07-29 00:31:37.234329,2024-09-05 00:31:37.234329,38,Medium_Value,Social,Reactivation,,0.091,49169.82,25.67
3,Acquisition_BOGO_3,BOGO,0.0,92.54,2024-07-29 04:46:10.617764,2024-08-19 04:46:10.617764,21,Medium_Value,SMS,Acquisition,Home,0.241,35889.11,28.1
4,Reactivation_Percentage_Discount_4,Percentage_Discount,41.6,85.76,2025-06-06 14:23:09.243470,2025-07-11 14:23:09.243470,35,Low_Value,Website_Banner,Reactivation,,0.214,11973.4,33.1
5,Retention_Fixed_Amount_5,Fixed_Amount,16.55,0.0,2025-04-06 22:21:13.644656,2025-04-25 22:21:13.644656,19,Lapsed,Email,Retention,,0.17,9236.54,39.82
6,Acquisition_BOGO_6,BOGO,0.0,18.42,2025-03-04 03:26:48.534817,2025-03-20 03:26:48.534817,16,High_Value,Push,Acquisition,,0.086,21303.04,23.08
7,Retention_Percentage_Discount_7,Percentage_Discount,14.3,24.08,2024-10-30 03:54:52.448514,2024-11-20 03:54:52.448514,21,High_Value,Email,Retention,Home,0.186,24577.81,45.94
8,Cross_Sell_Free_Shipping_8,Free_Shipping,0.0,67.03,2024-08-27 23:16:46.639212,2024-09-07 23:16:46.639212,11,New_Customer,SMS,Cross_Sell,,0.088,21719.17,28.24
9,Acquisition_BOGO_9,BOGO,0.0,0.0,2025-04-20 04:10:28.580647,2025-05-20 04:10:28.580647,30,Low_Value,Email,Acquisition,Sports,0.059,11103.46,24.68
10,Upsell_Percentage_Discount_10,Percentage_Discount,10.4,71.58,2025-08-24 03:59:15.346945,2025-08-09 03:59:15.346945,15,Medium_Value,Social,Upsell,Electronics,0.235,6661.58,44.55
11,Reactivation_Free_Shipping_11,Free_Shipping,0.0,20.08,2025-06-27 11:18:03.126898,2025-08-13 11:18:03.126898,47,Low_Value,Website_Banner,Reactivation,,0.07,22533.28,38.8
12,Acquisition_BOGO_12,BOGO,0.0,14.01,2024-08-03 07:26:04.823956,2024-09-11 07:26:04.823956,39,Low_Value,In_App,Acquisition,Clothing,0.059,1148.11,12.03
13,Acquisition_Percentage_Discount_13,Percentage_Discount,43.1,86.05,2024-09-06 15:52:37.492977,2024-09-26 15:52:37.492977,20,Low_Value,SMS,Acquisition,Home,0.225,29445.68,9.93
14,Retention_Fixed_Amount_14,Fixed_Amount,5.74,14.53,2025-03-24 06:35:48.171416,2025-04-02 06:35:48.171416,9,All_Customers,Website_Banner,Retention,,0.16,26121.37,23.48
15,Reactivation_Percentage_Discount_15,Percentage_Discount,20.7,23.41,2024-12-14 06:57:24.005271,2025-02-09 06:57:24.005271,57,High_Value,Push,Reactivation,,0.236,12534.48,22.73
16,Retention_BOGO_16,BOGO,0.0,27.49,2025-06-11 05:40:42.010358,2025-06-17 05:40:42.010358,6,New_Customer,In_App,Retention,Beauty,0.078,9797.02,25.3
17,Upsell_Free_Shipping_17,Free_Shipping,0.0,0.0,2024-10-08 22:27:59.194856,2024-10-19 22:27:59.194856,11,Low_Value,In_App,Upsell,,0.107,26418.79,37.96
18,Acquisition_BOGO_18,BOGO,0.0,5.98,2025-03-30 01:03:39.441941,2025-05-18 01:03:39.441941,49,All_Customers,Website_Banner,Acquisition,,0.076,26929.89,11.12
19,Upsell_Fixed_Amount_19,Fixed_Amount,61.24,0.0,2024-08-23 16:39:17.871031,2024-09-05 16:39:17.871031,13,Lapsed,Social,Upsell,Beauty,0.206,16491.99,45.86
20,Reactivation_Free_Shipping_20,Free_Shipping,0.0,75.47,2025-04-24 23:14:20.856313,2025-05-19 23:14:20.856313,25,Low_Value,Push,Reactivation,,0.185,14737.63,22.4
21,Cross_Sell_Fixed_Amount_21,Fixed_Amount,94.41,21.09,2025-07-15 18:15:48.942689,2025-07-30 18:15:48.942689,15,Lapsed,Social,Cross_Sell,,0.053,6746.57,12.78
22,Upsell_Percentage_Discount_22,Percentage_Discount,9.4,89.68,2024-10-13 00:07:34.389220,2024-09-27 00:07:34.389220,16,Medium_Value,Email,Upsell,Sports,0.175,4319.59,28.25
23,Cross_Sell_Free_Shipping_23,Free_Shipping,0.0,0.0,2025-05-20 11:19:36.652862,2025-05-27 11:19:36.652862,7,Medium_Value,SMS,Cross_Sell,,0.175,10522.37,39.89
24,Reactivation_BOGO_24,BOGO,0.0,45.9,2025-02-15 09:21:31.465658,2025-03-31 09:21:31.465658,44,New_Customer,Website_Banner,Reactivation,,0.09,28716.68,11.64
25,Retention_Fixed_Amount_25,Fixed_Amount,36.5,81.97,2024-07-27 10:46:59.648345,2024-08-09 10:46:59.648345,13,Lapsed,Social,Retention,,0.151,23891.71,12.88
26,Cross_Sell_BOGO_26,BOGO,0.0,0.0,2025-02-15 20:10:09.176815,2025-03-07 20:10:09.176815,20,All_Customers,In_App,Cross_Sell,,0.135,21631.93,38.65
27,Acquisition_Percentage_Discount_27,Percentage_Discount,31.5,91.26,2024-12-12 16:58:10.970152,2025-01-25 16:58:10.970152,44,Lapsed,Email,Acquisition,,0.093,21305.11,31.54
28,Cross_Sell_BOGO_28,BOGO,0.0,48.97,2025-05-22 02:36:32.057650,2025-06-02 02:36:32.057650,11,High_Value,Website_Banner,Cross_Sell,,0.214,28114.43,21.86
29,Cross_Sell_Free_Shipping_29,Free_Shipping,0.0,87.56,2024-12-02 12:53:46.288450,2024-12-05 12:53:46.288450,3,Low_Value,Email,Cross_Sell,,0.147,20830.77,36.5
30,Acquisition_BOGO_30,BOGO,0.0,0.0,2025-01-25 18:39:16.495560,2025-03-12 18:39:16.495560,46,Low_Value,Email,Acquisition,Books,0.181,31269.1,31.5
31,Acquisition_BOGO_31,BOGO,0.0,80.24,2025-06-08 06:29:16.639027,2025-06-25 06:29:16.639027,17,Low_Value,Email,Acquisition,,0.168,6506.19,45.98
32,Cross_Sell_Fixed_Amount_32,Fixed_Amount,65.83,39.09,2025-07-14 03:25:52.707525,2025-07-21 03:25:52.707525,7,Low_Value,Email,Cross_Sell,,0.129,10808.96,49.34
33,Acquisition_BOGO_33,BOGO,0.0,19.49,2025-07-15 02:48:11.195064,2025-08-22 02:48:11.195064,38,Low_Value,Social,Acquisition,,0.24,27798.45,15.25
34,Retention_Free_Shipping_34,Free_Shipping,0.0,50.39,2025-05-13 17:27:44.941782,2025-06-03 17:27:44.941782,21,New_Customer,In_App,Retention,,0.191,46576.82,14.26
35,Retention_BOGO_35,BOGO,0.0,45.98,2025-07-17 02:57:09.583308,2025-07-25 02:57:09.583308,8,New_Customer,Social,Retention,Books,0.065,49446.03,36.2
36,Upsell_BOGO_36,BOGO,0.0,69.69,2025-02-23 04:18:01.870479,2025-03-14 04:18:01.870479,19,High_Value,Social,Upsell,Home,0.099,32357.75,25.95
37,Retention_Free_Shipping_37,Free_Shipping,0.0,0.0,2024-08-25 21:33:21.174310,2024-09-10 21:33:21.174310,16,Lapsed,Push,Retention,,0.05,49619.67,9.25
38,Upsell_Fixed_Amount_38,Fixed_Amount,61.49,0.0,2024-12-28 04:26:25.673797,2025-01-14 04:26:25.673797,17,New_Customer,Social,Upsell,,0.1,24494.99,10.94
39,Upsell_BOGO_39,BOGO,0.0,,2025-09-26 20:13:49.414399,2025-10-01 20:13:49.414399,5,All_Customers,SMS,Upsell,Books,0.164,4788.7,6.95
40,Retention_Fixed_Amount_40,Fixed_Amount,41.62,79.32,2024-08-22 03:52:56.582001,2024-09-12 03:52:56.582001,21,All_Customers,Email,Retention,,0.099,6368.77,5.96
41,Retention_Free_Shipping_41,Free_Shipping,0.0,0.0,2025-06-21 08:09:02.374085,2025-07-04 08:09:02.374085,13,High_Value,Push,Retention,Home,0.071,9540.99,27.54
42,Reactivation_Free_Shipping_42,Free_Shipping,0.0,0.0,2025-03-02 07:07:35.535404,2025-04-08 07:07:35.535404,37,High_Value,Push,Reactivation,,0.232,19098.62,46.22
43,Retention_Percentage_Discount_43,Percentage_Discount,31.5,0.0,2024-10-11 02:30:47.052514,2024-10-30 02:30:47.052514,19,New_Customer,Email,Retention,Books,0.213,26986.23,6.7
44,Cross_Sell_Fixed_Amount_44,Fixed_Amount,46.79,79.18,2025-06-01 07:47:44.754092,2025-06-06 07:47:44.754092,5,New_Customer,Social,Cross_Sell,Home,0.141,36751.53,27.19
45,Retention_Free_Shipping_45,Free_Shipping,0.0,0.0,2025-07-06 15:09:33.945168,2025-07-16 15:09:33.945168,10,Lapsed,Push,Retention,,0.198,35920.92,42.46
46,Reactivation_Fixed_Amount_46,Fixed_Amount,24.51,91.4,2025-06-14 21:19:36.345011,2025-07-04 21:19:36.345011,20,Low_Value,SMS,Reactivation,Books,0.105,6258.46,15.0
